name, codename, country, iata, icao, type
Gerald R. Ford International Airport,Grand Rapids,United States,GRR,KGRR,airport
Winkler County Airport,Wink,United States,INK,KINK,airport
Fresno Yosemite International Airport,Fresno,United States,FAT,KFAT,airport
Vero Beach Regional Airport,Vero Beach,United States,VRB,KVRB,airport
Imperial County Airport,Imperial,United States,IPL,KIPL,airport
Nashville International Airport,Nashville,United States,BNA,KBNA,airport
Laredo International Airport,Laredo,United States,LRD,KLRD,airport
Elmendorf Air Force Base,Anchorage,United States,EDF,PAED,airport
Ralph Wien Memorial Airport,Kotzebue,United States,OTZ,PAOT,airport
Altoona Blair County Airport,Altoona,United States,AOO,KAOO,airport
Dyess Air Force Base,Abilene,United States,DYS,KDYS,airport
South Arkansas Regional At Goodwin Field,El Dorado,United States,ELD,KELD,airport
La Guardia Airport,New York,United States,LGA,KLGA,airport
Tallahassee Regional Airport,Tallahassee,United States,TLH,KTLH,airport
Dupage Airport,West Chicago,United States,DPA,KDPA,airport
Waco Regional Airport,Waco,United States,ACT,KACT,airport
Augusta State Airport,Augusta,United States,AUG,KAUG,airport
Jacksonville Naval Air Station (Towers Field),Jacksonville,United States,NIP,KNIP,airport
McKellar-Sipes Regional Airport,Jackson,United States,MKL,KMKL,airport
Molokai Airport,Molokai,United States,MKK,PHMK,airport
Godman Army Air Field,Fort Knox,United States,FTK,KFTK,airport
San Angelo Regional Mathis Field,San Angelo,United States,SJT,KSJT,airport
Calexico International Airport,Calexico,United States,CXL,KCXL,airport
Chico Municipal Airport,Chico,United States,CIC,KCIC,airport
Burlington International Airport,Burlington,United States,BTV,KBTV,airport
Jacksonville International Airport,Jacksonville,United States,JAX,KJAX,airport
Durango La Plata County Airport,Durango,United States,DRO,KDRO,airport
Washington Dulles International Airport,Washington,United States,IAD,KIAD,airport
Easterwood Field,College Station,United States,CLL,KCLL,airport
Felts Field,Spokane,United States,SFF,KSFF,airport
General Mitchell International Airport,Milwaukee,United States,MKE,KMKE,airport
Abilene Regional Airport,Abilene,United States,ABI,KABI,airport
Columbia Regional Airport,Columbia,United States,COU,KCOU,airport
Portland International Airport,Portland,United States,PDX,KPDX,airport
Dade Collier Training and Transition Airport,Miami,United States,TNT,KTNT,airport
Palm Beach International Airport,West Palm Beach,United States,PBI,KPBI,airport
Fort Worth Meacham International Airport,Fort Worth,United States,FTW,KFTW,airport
Ogdensburg International Airport,Ogdensburg,United States,OGS,KOGS,airport
Cape Cod Coast Guard Air Station,Falmouth,United States,FMH,KFMH,airport
Boeing Field King County International Airport,Seattle,United States,BFI,KBFI,airport
Lackland Air Force Base,San Antonio,United States,SKF,KSKF,airport
Daniel K Inouye International Airport,Honolulu,United States,HNL,PHNL,airport
Des Moines International Airport,Des Moines,United States,DSM,KDSM,airport
Coastal Carolina Regional Airport,New Bern,United States,EWN,KEWN,airport
San Diego International Airport,San Diego,United States,SAN,KSAN,airport
Monroe Regional Airport,Monroe,United States,MLU,KMLU,airport
Shaw Air Force Base,Sumter,United States,SSC,KSSC,airport
Ontario International Airport,Ontario,United States,ONT,KONT,airport
Majors Airport,Greenvile,United States,GVT,KGVT,airport
Roswell International Air Center Airport,Roswell,United States,ROW,KROW,airport
Coleman A. Young Municipal Airport,Detroit,United States,DET,KDET,airport
Brownsville South Padre Island International Airport,Brownsville,United States,BRO,KBRO,airport
Dothan Regional Airport,Dothan,United States,DHN,KDHN,airport
Cape May County Airport,Wildwood,United States,WWD,KWWD,airport
Fallon Naval Air Station,Fallon,United States,NFL,KNFL,airport
Selfridge Air National Guard Base Airport,Mount Clemens,United States,MTC,KMTC,airport
Four Corners Regional Airport,Farmington,United States,FMN,KFMN,airport
